,HOMO,LUMO,Gap,NBO,Hammett,L,B1,B5
CF3,-13.11,4.38,17.49,0.1282,0.54,3.0327,2.0928,2.7158
CN,-12.27,2.58,14.85,0.22152,0.66,3.781,1.7,1.7
F,-12.99,3.8,16.79,0.5302,0.06,2.3889,1.47,1.47
H,-13.86,4.25,18.11,0,0,1.9578,1.2,1.2
CH3,-12.86,4.27,17.13,0.21486,-0.17,2.7979,1.7171,2.2351
Et,-11.45,4.01,15.45,0.21158,-0.15,3.9584,1.762,3.3698
NH2,-9.2,3.85,13.04,0.35184,-0.66,2.5695,1.55,2.1817
OCH3,-9.56,3.84,13.4,0.45253,-0.27,3.7011,1.52,3.2946
CH(CH3)2,-11,3.81,14.81,0.21332,-0.15,3.9102,2.1241,3.3814
CO2CH3,-10.13,2.25,12.38,0.13372,0.45,4.6592,1.7901,3.7086
